ID,sex,race,educ,yob,hhincome2021,parent_edu
528,female,nonblacknonhispanic,AA,1982,81000,BA or more
529,female,hispanic,MA,1982,213059,Some college
530,female,nonblacknonhispanic,BA,1982,53386,BA or more
534,female,hispanic,HS,1981,64000,less than HS
536,male,hispanic,AA,1982,203000,less than HS
537,male,nonblacknonhispanic,None,1982,179600,Some college
540,female,hispanic,BA,1982,65000,BA or more
541,female,hispanic,BA,1982,88250,HS
542,female,black,BA,1984,120020,BA or more
544,male,nonblacknonhispanic,MA,1981,599728,BA or more
547,male,nonblacknonhispanic,BA,1984,83000,BA or more
548,female,nonblacknonhispanic,HS,1984,101000,Some college
549,male,nonblacknonhispanic,BA,1981,154000,BA or more
554,male,nonblacknonhispanic,None,1981,22229,Some college
555,male,nonblacknonhispanic,MA,1984,203714,BA or more
556,female,nonblacknonhispanic,BA,1982,75500,BA or more
557,female,hispanic,BA,1981,107550,BA or more
558,male,nonblacknonhispanic,BA,1982,168143,Some college
560,female,nonblacknonhispanic,HS,1981,99500,Some college
561,male,nonblacknonhispanic,HS,1984,78000,Some college
562,female,hispanic,HS,1983,175000,HS
564,male,nonblacknonhispanic,HS,1983,96000,Some college
566,female,hispanic,HS,1982,110000,less than HS
567,male,nonblacknonhispanic,HS,1980,142000,HS
568,male,nonblacknonhispanic,HS,1981,215000,HS
571,male,nonblacknonhispanic,HS,1980,113500,HS
573,female,hispanic,None,1981,0,less than HS
574,female,hispanic,None,1983,15000,less than HS
576,male,nonblacknonhispanic,HS,1981,60000,BA or more
577,male,nonblacknonhispanic,AA,1984,65000,BA or more
579,female,nonblacknonhispanic,BA,1980,66376,HS
581,male,nonblacknonhispanic,BA,1982,118000,HS
582,female,nonblacknonhispanic,GED,1983,120000,HS
583,female,nonblacknonhispanic,HS,1981,50000,BA or more
584,female,nonblacknonhispanic,BA,1981,307000,Some college
585,female,nonblacknonhispanic,MA,1983,152000,Some college
587,female,hispanic,HS,1983,110500,HS
590,male,nonblacknonhispanic,HS,1983,74000,HS
591,female,hispanic,BA,1982,122000,HS
592,female,hispanic,HS,1984,144114,HS
593,female,hispanic,HS,1981,140229,Some college
594,female,black,None,1980,82500,less than HS
595,female,black,HS,1981,48993,less than HS
598,male,hispanic,BA,1981,105050,HS
601,female,hispanic,GED,1980,125000,HS
602,female,hispanic,None,1982,30000,HS
603,male,hispanic,HS,1984,70000,less than HS
604,female,hispanic,HS,1981,52000,less than HS
605,female,hispanic,GED,1983,35000,HS
606,male,nonblacknonhispanic,HS,1980,0,BA or more
607,female,nonblacknonhispanic,GED,1982,120000,BA or more
608,male,nonblacknonhispanic,HS,1983,79500,HS
609,female,nonblacknonhispanic,BA,1982,212050,Some college
610,female,nonblacknonhispanic,HS,1981,100000,HS
611,male,nonblacknonhispanic,HS,1984,79000,HS
612,male,nonblacknonhispanic,MA,1984,87750,BA or more
613,male,nonblacknonhispanic,AA,1983,130000,HS
617,female,hispanic,HS,1983,39000,Some college
